Region,Area
1,"Dresden, Riesa, Meißen, Bischofswerda"
2,"Görlitz, Bautzen, Hoyerswerda, Zittau"
3,"Cottbus, Finsterwalde, Forst (Lausitz), Spremberg"
4,"Leipzig, Altenburg, Eilenburg, Torgau"
5,– (Reserved)
6,"Halle (Saale), Dessau-Roßlau, Quedlinburg, Zeitz"
7,"Gera, Jena, Saalfeld/Saale, Greiz"
8,"Plauen, Zwickau, Aue, Klingenthal"
9,"Chemnitz, Annaberg-Buchholz, Zschopau, Freiberg"
10,Berlin city centre
11,Federal Institutions in Berlin
12,South and South-East Berlin
13,North Berlin
14,"Potsdam and South-West Berlin, Rathenow, Luckenwalde, Brandenburg an der Havel"
15,"Frankfurt (Oder), Eisenhüttenstadt, Fürstenwalde/Spree, Königs Wusterhausen"
16,"Oranienburg, Eberswalde, Pritzwalk, Schwedt/Oder"
17,"Neubrandenburg, Greifswald, Neustrelitz, Usedom"
18,"Rostock, Stralsund, Güstrow, Bergen auf Rügen"
19,"Schwerin, Ludwigslust, Wittenberge, Parchim"
20,Hamburg mid
21,"Southern and Eastern Hamburg and surroundings, Lüneburg, Buxtehude, Stade, Reinbek"
22,"Hamburg North & West, Norderstedt, Ahrensburg, Wedel"
23,"Lübeck, Bad Segeberg, Wismar, Mölln"
24,"Kiel, Flensburg, Schleswig, Neumünster"
25,"Westcoast (Elmshorn, Itzehoe, Sylt)"
26,"Oldenburg, Wilhelmshaven, Emden, Aurich"
27,"Bremen metropolitan area, Bremerhaven, Cuxhaven, Delmenhorst, Helgoland, Neuwerk"
28,"Bremen, Ottersberg, Schwanewede, Syke, Stuhr, Weyhe"
29,"Celle, Uelzen, Salzwedel, Lüchow"
30,"Hannover, Garbsen, Langenhagen, Laatzen"
31,"Hannover area, Hameln, Hildesheim, Peine, Schaumburg"
32,"Herford, Minden, Detmold, Löhne"
33,"Bielefeld, Paderborn, Bad Driburg, Gütersloh"
34,"Kassel, Hannoversch Münden, Korbach, Warburg"
35,"Gießen, Wetzlar, Marburg, Dillenburg"
36,"Fulda, Bad Hersfeld, Bad Salzungen, Alsfeld"
37,"Göttingen, Höxter, Eschwege, Osterode am Harz"
38,"Braunschweig, Salzgitter, Wolfsburg, Halberstadt"
39,"Magdeburg, Stendal, Oschersleben, Staßfurt"
40,"Düsseldorf, Hilden, Mettmann, Ratingen"
41,"Mönchengladbach, Neuss, Viersen, Erkelenz"
42,"Wuppertal, Velbert, Solingen, Remscheid"
43,– (Reserved)
44,"Dortmund, Lünen, Herne, Bochum"
